common_name,latin_name_cleaned
Lake Sturgeon,Acipenser fulvescens
Atlantic Sturgeon,Acipenser oxyrinchus
Sturgeon,Acipenser spp.
Alewife,Alosa pseudoharengus
American Shad,Alosa sapidissima
Shad,Aloseinae
Brown Bullhead,Ameiurus nebulosus
Bowfin,Amia calva
Wolf-eel and Relatives,Anarhichadidae
American Eel,Anguilla rostrata
Sablefish,Anoplopoma fimbria
Freshwater Drum,Aplodinotus grunniens
Arctic Cod,Boreogadus saida
Crabs,Brachyura
Menhaden,Brevoortia tyrannus
Blue Crab,Callinectes sapidus
Jonah Crab,Cancer borealis
Atlantic Rock Crab,Cancer irroratus
Dungeness Crab,Cancer magister
Goldfish,Carassius auratus
Cockles,Cardiidae
Suckers,Catostominae
Longnose Sucker,Catostomus catostomus
White Sucker,Catostomus commersonii
Black Sea Bass,Centropristis striata
Nuttall Cockle,Clinocardium nuttallii
Atlantic Herring,Clupea harengus
Pacific Herring,Clupea pallasii pallasii
Lake Herring,Coregonus artedi
Arctic Cisco,Coregonus autumnalis
Lake Whitefish,Coregonus clupeaformis
Broad Whitefish,Coregonus nasus
Sculpins,Cottidae
Lake Chub,Couesius plumbeus
Eastern Oyster,Crassostrea virginica
Giant Pacific Chiton,Cryptochiton stelleri
Lumpfish,Cyclopterus lumpus
Common Carp,Cyprinus carpio
Alaska Blackfish,Dallia pectoralis
Saffron Cod,Eleginus gracilis
Anchovies,Engraulidae
Atlantic Jackknife Clam,Ensis directus
Pacific Giant Octopus,Enteroctopus dofleini
Northern Pike,Esox lucius
Pike,Esox spp.
Cod and Relatives,Gadidae
Cod and Relatives,Gadiformes
Alaska Pollock,Gadus chalcogrammus
Pacific Cod,Gadus macrocephalus
Atlantic Cod,Gadus morhua
Sea Snails and relatives,Gastropoda
Abalones,Haliotididae
Greenlings,Hexagrammos spp.
Halibut,Hippoglossinae
Atlantic Halibut,Hippoglossus hippoglossus
Pacific Halibut,Hippoglossus stenolepis
American lobster,Homarus americanus
Ratfish,Hydrolagus spp.
Pond Smelt,Hypomesus olidus
Surf Smelt,Hypomesus pretiosus
Catfish,Ictaluridae
Channel Catfish,Ictalurus punctatus
Northern Shortfin Squid,Illex illecebrosus
Black Katy Chiton,Katharina turnicata
Rock Sole,Lepidopsetta bilineata
Gar,Lepisosteidae
Sunfish,Lepomis spp.
Common Periwinkle,Littorina littorea
Periwinkles,Littorinidae
Burbot,Lota lota
Capelin,Mallotus villosus
Haddock,Melanogrammus aeglefinus
Northern Quahog,Mercenaria mercenaria 
Silver Hake,Merluccius bilinearis
Pacific Hake,Merluccius productus
Hakes,Merluccius spp.
Atlantic Tomcod,Microgadus tomcod
Atlantic Croaker,Micropogonias undulatus
Largemouth Bass,Micropterus salmoides
Bass,Micropterus spp.
Dover Sole,Microstomus pacificus
White Perch,Morone americana
Striped Bass,Morone saxatilis
Flathead Gray Mullet,Mugil cephalus
Softshell Clam,Mya arenaria
Truncate Softshell Clam,Mya truncata
Shorthorn Sculpin,Myoxocephalus scorpius
Shorthorn and Fourhorn Sculpins,Myoxocephalus spp.
Mussels,Mytilidae
Blue Mussel,Mytilus edulis
Mudsnails,Nassarius spp.
Lobsters,Nephropidae
Spottail Shiner,Notropis hudsonius
Octopus,Octopoda
Pink Salmon,Oncorhynchus gorbuscha
Chum Salmon,Oncorhynchus keta
Coho Salmon,Oncorhynchus kisutch
Rainbow Trout,Oncorhynchus mykiss
Steelhead Trout,Oncorhynchus mykiss
Sockeye Salmon,Oncorhynchus nerka
Chinook Salmon,Oncorhynchus tshawytscha
Lingcod,Ophiodon elongatus
Rainbow Smelt,Osmerus mordax
Olympia Oyster,Ostrea lurida
Oysters,Ostreidae
Giant California Sea Cucumber,Parastichopus californicus
English Sole,Parophrys vetulus
Scallops,Pectinidae
Yellow Perch,Perca flavescens
Perch and Darters,Percidae
Lampreys,Petromyzontinae
Starry Flounder,Platichthys stellatus
Flounders and Soles,Pleuronectinae
Bluefish,Pomatomus saltatrix
Pacific Littleneck Clam,Protothaca staminea
Winter Flounder,Pseudopleuronectes americanus
Pikeminnows,Ptychocheilus spp.
Ninespine Stickleback,Pungitius pungitius
Skates,Rajidae
Rays,Rajidae
Greenland Halibut,Reinhardtius hippoglossoides
Atlantic Salmon,Salmo salar
Brown Trout,Salmo trutta
Arctic Char,Salvelinus alpinus
Brook Trout,Salvelinus fontinalis
Dolly Varden Trout,Salvelinus malma
Lake Trout,Salvelinus namaycush
Sardine,Sardinops spp.
Washington Butterclam,Saxidomus gigantea
Atlantic Mackerel,Scomber scombrus
Mackerel,Scomber spp.
Tuna and Mackerel,Scombridae
Yellowtail Rockfish,Sebastes flavidus
Golden Redfish,Sebastes norvegicus
Canary Rockfish,Sebastes pinniger
Yelloweye Rockfish,Sebastes ruberrimus
Rockfish,Sebastes spp.
Greenland Shark,Somniosus microcephalus
Porgies,Sparidae
Atlantic Surf Clam,Spisula solidissima
Sharks,Squaliformes
Spiny Dogfish,Squalus acanthias
Inconnu,Stenodus leucichthys
Sea Urchins,Strongylocentrotidae
Eulachon,Thaleichthys pacificus
Albacore,Thunnus alalunga
Bluefin Tuna,Thunnus thynnus
Arctic Grayling,Thymallus arcticus
